claim_id,age,policy_tenure_years,claim_amount,annual_premium,num_claims_history,days_to_report,incident_severity,insurance_type,incident_type,police_report_filed,witnesses,vehicle_age_years,deductible_amount,customer_region,fraud_flag
CLM101234,51,10.7,9154.03,4047.06,10,70,Moderate,Auto,Theft,1,4,11,1500,East,0
CLM101235,28,8.1,14518.72,873.59,11,19,Total Loss,Auto,Natural,1,2,0,2000,West,0
CLM101236,18,11.8,56751.55802239992,6063.12,13,66,Major,Life,Medical,1,2,19,2000,East,1
CLM101237,32,14.2,3600.39,3224.39,7,59,Moderate,Health,Fire,0,4,19,2500,North,0
CLM101238,43,12.9,3221.635770648622,2183.71,10,73,Minor,Health,Natural,1,0,5,1000,South,1
CLM101239,68,19.7,9946.76,7612.01,1,73,Total Loss,Life,Theft,1,1,12,2000,West,0
CLM101240,21,3.2,17172.228731468655,6301.27,4,10,Minor,Auto,Accident,1,2,11,1500,South,1
CLM101241,60,8.9,13041.12,7717.02,13,77,Total Loss,Auto,Natural,0,4,9,1000,South,0
CLM101242,22,8.8,27866.35,2421.63,13,44,Major,Life,Natural,0,2,6,2000,Central,0
CLM101243,52,8.6,73658.02459640881,6768.45,14,90,Total Loss,Property,Theft,1,2,9,1000,North,1
CLM101244,30,13.4,2581.13,5057.91,1,39,Major,Property,Fire,0,0,17,2500,South,0
CLM101245,27,10.1,41770.46,7861.28,7,37,Major,Life,Theft,1,2,5,2000,North,0
CLM101246,28,10.6,2754.99,7597.38,4,23,Minor,Health,Theft,1,1,7,2000,East,0
CLM101247,35,8.9,16100.23,7797.26,5,3,Total Loss,Property,Fire,1,4,19,1000,East,0
CLM101248,51,19.8,34462.09973079414,7638.26,16,90,Minor,Life,Fire,1,0,8,2000,South,1
CLM101249,56,18.6,18085.77,557.46,9,12,Major,Property,Natural,1,0,15,1000,North,0
CLM101250,58,6.5,5625.44,6058.14,14,20,Major,Life,Accident,1,4,1,1000,Central,0
CLM101251,59,2.7,7014.89,2539.51,11,31,Major,Property,Theft,0,1,10,2000,West,0
CLM101252,67,16.9,12933.58,5787.7,3,37,Major,Property,Accident,1,2,18,1500,East,0
CLM101253,40,19.9,4339.42,7854.58,2,31,Moderate,Life,Fire,0,2,3,2500,East,0
CLM101254,24,6.2,1307.79,795.2,7,78,Major,Health,Fire,1,1,2,1000,Central,0
CLM101255,56,7.5,13387.99,4752.41,8,56,Total Loss,Health,Theft,0,3,14,1500,South,0
CLM101256,20,18.9,10390.14,6012.15,14,47,Major,Property,Natural,1,4,7,1000,East,0
CLM101257,29,14.4,17038.62,2400.19,12,29,Moderate,Property,Theft,1,1,3,1500,East,0
CLM101258,24,6.3,3379.67,2188.41,14,70,Total Loss,Health,Natural,0,2,10,2000,West,0
CLM101259,66,11.8,28575.68,952.59,7,37,Moderate,Life,Medical,1,4,16,2500,Central,0
CLM101260,43,18.9,3371.25,1204.4,8,43,Moderate,Auto,Natural,1,4,8,1500,Central,0
CLM101261,50,16.3,34293.47,5425.62,0,25,Total Loss,Property,Theft,1,2,0,500,North,0
CLM101262,54,15.0,9954.5,4289.08,4,89,Moderate,Auto,Theft,1,1,7,1000,Central,0
CLM101263,65,14.9,12971.13,725.54,11,1,Major,Property,Natural,1,3,1,1500,West,0
CLM101264,32,4.0,35034.55,7772.46,6,42,Minor,Health,Accident,0,4,12,2500,Central,0
CLM101265,19,16.6,6348.26,5420.34,7,42,Minor,Life,Natural,0,4,0,2500,North,0
CLM101266,58,5.9,4010.22,4366.01,13,62,Minor,Property,Medical,1,4,9,2500,West,0
CLM101267,24,18.6,9852.14,2545.43,10,72,Total Loss,Auto,Medical,1,1,11,1500,East,0
CLM101268,49,7.6,5203.0,5435.74,1,57,Total Loss,Health,Accident,1,4,10,1500,South,0
CLM101269,21,17.2,12256.68,3231.26,11,47,Total Loss,Property,Medical,1,2,9,2000,East,0
CLM101270,37,5.7,5829.09,5768.71,10,4,Minor,Life,Theft,1,2,13,500,North,0
CLM101271,67,10.5,81311.2714963346,5619.29,19,90,Minor,Property,Accident,0,0,13,1500,West,1
CLM101272,70,2.6,15021.58,1195.58,3,34,Total Loss,Life,Accident,0,4,7,2000,East,0
CLM101273,53,13.4,1003.61,7319.46,6,15,Minor,Life,Accident,1,3,10,1000,North,0
CLM101274,49,16.8,25557.82,4152.31,4,82,Moderate,Health,Natural,0,0,8,500,East,0
CLM101275,45,14.5,7011.92,3447.09,0,48,Moderate,Property,Natural,1,4,14,2500,South,0
CLM101276,30,10.7,6789.53,7665.97,12,59,Minor,Life,Accident,1,4,0,500,East,0
CLM101277,18,1.4,22773.504332832297,3786.57,20,69,Total Loss,Health,Medical,0,1,18,1000,East,1
CLM101278,73,18.7,15924.43,5909.16,1,81,Major,Property,Theft,0,1,17,1500,East,0
CLM101279,52,14.3,9752.58,5413.52,4,58,Major,Life,Theft,0,2,11,1500,North,0
CLM101280,65,15.0,15858.57,1738.55,5,63,Minor,Health,Natural,0,0,7,2000,West,0
CLM101281,47,16.0,3381.08,7933.57,0,12,Major,Property,Fire,1,0,4,1500,Central,0
CLM101282,71,15.1,53680.83,3977.03,11,25,Total Loss,Life,Accident,0,0,12,1500,North,0
CLM101283,53,9.1,20618.14,3460.87,2,69,Moderate,Health,Fire,0,2,16,500,Central,0
CLM101284,74,14.8,5319.37,7397.1,5,2,Moderate,Health,Theft,1,3,0,1000,Central,0
CLM101285,72,12.7,20319.55,4469.29,5,86,Total Loss,Property,Natural,1,3,1,2500,East,0
CLM101286,42,17.2,13835.89,5788.08,6,11,Major,Health,Natural,1,3,6,2500,South,0
CLM101287,33,16.1,2734.34,6846.85,9,40,Minor,Property,Natural,1,0,1,2000,Central,0
CLM101288,36,1.3,3943.81,2266.21,11,78,Moderate,Property,Natural,1,4,3,1000,Central,0
CLM101289,18,7.9,1632.78,1771.0,13,64,Major,Life,Natural,0,0,12,500,East,0
CLM101290,22,1.2,25850.94,1013.8,13,62,Major,Property,Accident,1,4,13,2500,South,0
CLM101291,68,2.5,13034.55,7228.5,2,49,Moderate,Health,Fire,1,1,19,2000,East,0
CLM101292,39,12.2,6713.39,2002.75,0,46,Moderate,Property,Theft,1,2,2,1500,Central,0
CLM101293,41,17.5,3026.04,2808.16,12,7,Minor,Life,Theft,0,3,8,1500,North,0
CLM101294,60,2.8,18399.00802671899,2643.55,9,42,Total Loss,Health,Natural,1,0,17,500,Central,1
CLM101295,62,9.3,12174.86,2784.41,11,10,Major,Life,Natural,0,0,15,2500,North,0
CLM101296,69,18.3,19157.33,5510.46,10,16,Minor,Auto,Natural,0,1,18,1500,West,0
CLM101297,54,16.4,53567.01,7655.85,2,26,Moderate,Life,Medical,1,4,19,2000,South,0
CLM101298,70,10.6,9562.5,2970.9,4,26,Total Loss,Auto,Theft,1,3,8,2000,West,0
CLM101299,53,15.5,8814.0,3557.35,3,77,Total Loss,Auto,Natural,0,2,18,2500,East,0
CLM101300,53,10.7,7928.87,6283.6,11,86,Major,Property,Fire,1,4,5,500,Central,0
CLM101301,21,3.6,43752.497827809915,3742.53,17,90,Total Loss,Health,Medical,1,4,11,2000,West,1
CLM101302,53,2.9,3549.68,7445.32,0,68,Moderate,Property,Accident,1,3,14,1000,South,0
CLM101303,69,4.2,7319.64,4274.14,11,46,Moderate,Health,Medical,1,2,5,2000,North,0
CLM101304,70,7.3,20363.17,3108.01,6,18,Moderate,Life,Medical,1,3,4,500,North,0
CLM101305,35,18.6,2966.435151493304,7786.79,16,83,Minor,Auto,Medical,1,3,13,2000,East,1
CLM101306,67,16.1,6124.28,3693.36,12,30,Moderate,Auto,Fire,1,0,18,1500,East,0
CLM101307,33,8.9,39818.33492892822,2233.81,9,43,Minor,Auto,Theft,0,2,17,500,Central,1
CLM101308,58,10.1,4086.04,1832.76,0,44,Moderate,Life,Natural,0,4,12,1500,West,0
CLM101309,35,5.7,15598.699524380936,7963.86,15,56,Moderate,Life,Fire,0,3,8,1500,Central,1
CLM101310,39,14.2,10984.3,6147.41,5,60,Total Loss,Property,Fire,1,1,19,2500,North,0
CLM101311,19,16.2,20146.131507664617,3564.95,8,39,Major,Property,Natural,1,2,6,500,North,1
CLM101312,38,5.2,2681.2,6697.73,12,28,Moderate,Health,Medical,1,1,11,1500,West,0
CLM101313,53,1.3,124110.62268828295,4601.05,5,62,Total Loss,Health,Accident,0,4,8,2500,Central,1
CLM101314,61,12.7,1679.55,2880.42,14,28,Total Loss,Auto,Medical,1,2,1,2500,East,0
CLM101315,56,11.5,21778.99,6075.39,1,1,Major,Life,Medical,1,0,2,1500,West,0
CLM101316,64,8.3,2111.53,6094.21,0,5,Total Loss,Life,Theft,1,2,4,1500,East,0
CLM101317,56,13.1,10446.83,4251.27,2,8,Total Loss,Property,Medical,1,4,17,1000,West,0
CLM101318,46,11.2,3893.06,838.69,9,14,Major,Property,Accident,1,0,13,500,East,0
CLM101319,71,5.4,3281.5,1077.67,4,83,Minor,Health,Fire,1,4,18,2500,South,0
CLM101320,43,8.3,3018.37,6415.62,11,57,Major,Health,Medical,1,2,4,500,North,0
CLM101321,38,8.8,10043.75,6676.07,8,1,Major,Property,Fire,1,4,9,2500,West,0
CLM101322,34,17.7,30125.58465608014,5587.17,18,35,Moderate,Property,Theft,1,2,15,2000,South,1
CLM101323,33,19.2,3147.4,6793.01,14,51,Moderate,Life,Accident,0,0,19,2000,West,0
CLM101324,48,17.9,95444.98388941096,5896.16,9,79,Minor,Health,Natural,0,2,0,2500,North,1
CLM101325,68,14.5,5471.36,7227.01,3,52,Major,Property,Natural,1,4,3,1000,North,0
CLM101326,26,11.9,10210.64,1627.99,7,71,Major,Property,Theft,1,4,4,2000,East,0
CLM101327,48,13.9,4655.35,3408.06,11,39,Minor,Auto,Accident,1,4,10,500,North,0
CLM101328,31,18.8,11215.99,3980.83,3,84,Moderate,Property,Fire,1,1,13,1500,North,0
CLM101329,66,5.4,22159.83,2732.48,5,38,Major,Property,Theft,0,1,10,500,North,0
CLM101330,54,10.9,12044.02,5940.25,11,42,Minor,Life,Medical,1,1,7,500,Central,0
CLM101331,19,13.9,6045.71,7343.29,0,12,Moderate,Property,Fire,0,3,0,500,Central,0
CLM101332,69,13.7,5283.2,3593.62,13,36,Total Loss,Health,Medical,0,2,6,2500,North,0
CLM101333,65,5.4,59816.38604647735,7561.56,12,83,Minor,Auto,Medical,1,1,12,2500,Central,1
CLM101334,63,11.9,5524.475307214399,4375.77,14,58,Minor,Life,Fire,1,4,19,500,West,1
CLM101335,31,16.0,7929.73,4418.87,4,13,Major,Health,Medical,1,4,5,1500,South,0
CLM101336,50,9.8,3463.97,5001.65,13,64,Total Loss,Auto,Natural,1,1,3,1000,South,0
CLM101337,52,16.0,5475.6,2512.48,1,26,Moderate,Auto,Fire,1,1,11,1000,Central,0
CLM101338,56,7.5,3485.21,3375.2,0,23,Total Loss,Property,Theft,0,4,4,2000,South,0
CLM101339,64,18.8,33675.34,4649.28,12,21,Major,Auto,Natural,1,1,4,2000,Central,0
CLM101340,68,10.9,20746.16,7564.87,5,77,Major,Auto,Theft,0,3,16,1500,East,0
CLM101341,37,12.1,13346.35,5320.19,10,44,Moderate,Property,Accident,0,3,5,500,North,0
CLM101342,19,1.1,12437.526146217491,2998.37,7,24,Moderate,Life,Theft,1,3,9,2500,South,1
CLM101343,68,3.8,11707.19,578.51,8,66,Moderate,Property,Fire,1,0,15,2000,North,0
CLM101344,58,12.8,12035.6,7862.49,8,63,Major,Life,Theft,1,3,13,500,South,0
CLM101345,36,8.7,14388.75,4197.38,0,46,Moderate,Auto,Accident,0,4,9,1000,West,0
CLM101346,54,10.4,1929.49,7538.71,14,20,Moderate,Health,Medical,0,0,16,1500,West,0
CLM101347,35,1.7,55124.41,4620.09,4,31,Moderate,Life,Fire,0,4,4,2500,Central,0
CLM101348,33,16.8,16515.155052450373,5040.99,14,66,Minor,Life,Natural,0,4,1,2500,North,1
CLM101349,21,15.8,40163.53,5839.34,3,43,Moderate,Life,Natural,0,1,3,2000,Central,0
CLM101350,29,4.1,3041.846178844548,2907.32,7,57,Major,Life,Theft,1,2,17,500,East,1
CLM101351,46,12.9,5266.48,5742.38,4,51,Minor,Auto,Natural,0,3,7,2500,Central,0
CLM101352,24,16.5,2647.15,4450.94,4,87,Major,Health,Accident,0,2,13,1000,Central,0
CLM101353,31,13.0,23020.13,5543.6,7,10,Total Loss,Life,Natural,1,2,12,1000,Central,0
CLM101354,72,6.6,6787.7,6768.75,5,84,Minor,Health,Theft,1,1,6,1500,South,0
CLM101355,29,13.3,66034.18762201526,1881.72,17,52,Moderate,Auto,Natural,0,2,8,1500,South,1
CLM101356,52,4.6,71732.93404113648,5101.63,6,32,Minor,Life,Medical,1,3,3,1000,East,1
CLM101357,22,6.7,17530.04,890.83,10,26,Major,Health,Medical,1,0,4,1000,North,0
CLM101358,34,5.2,17439.42,1265.86,0,42,Minor,Life,Natural,1,4,14,500,West,0
CLM101359,59,11.4,19067.58,5559.46,12,64,Total Loss,Life,Fire,1,3,8,2500,North,0
CLM101360,49,2.6,39901.09641094208,1032.03,9,86,Moderate,Auto,Natural,1,1,17,500,West,1
CLM101361,27,18.7,8338.61,4965.18,1,28,Moderate,Life,Medical,1,0,13,1500,South,0
CLM101362,60,7.0,18224.65,2150.09,3,20,Total Loss,Health,Medical,1,1,14,1500,Central,0
CLM101363,34,4.8,35154.78,2780.64,2,28,Major,Health,Accident,1,3,0,1500,East,0
CLM101364,22,10.2,7064.89,1472.27,14,8,Minor,Auto,Theft,1,4,18,2500,East,0
CLM101365,62,5.9,44476.1,2365.01,14,60,Major,Property,Accident,1,2,0,2000,East,0
CLM101366,59,10.9,1205.12,6659.69,8,61,Major,Property,Fire,1,2,5,1500,North,0
CLM101367,26,7.3,20102.02773836847,5291.59,16,90,Major,Auto,Theft,1,1,7,1500,South,1
CLM101368,66,3.1,3125.15,7623.2,4,4,Moderate,Auto,Natural,1,0,3,500,South,0
CLM101369,50,5.7,3030.77,865.59,3,14,Minor,Property,Natural,0,4,15,500,Central,0
CLM101370,53,9.0,76944.13759628881,6443.09,14,78,Moderate,Property,Fire,1,1,10,2000,North,1
CLM101371,53,1.1,38583.07,5743.08,8,4,Moderate,Health,Medical,1,4,3,2000,Central,0
CLM101372,35,15.5,61579.04436300852,2456.69,5,58,Moderate,Health,Natural,1,1,10,2000,West,1
CLM101373,26,12.6,57335.37,5968.75,5,80,Minor,Health,Accident,0,0,9,2000,South,0
CLM101374,74,12.2,4656.49,5874.11,13,3,Total Loss,Property,Medical,1,3,16,500,East,0
CLM101375,46,11.1,8571.621744599655,3945.09,13,90,Moderate,Auto,Natural,1,2,8,1500,Central,1
CLM101376,67,12.0,12031.55,5664.8,0,84,Moderate,Life,Medical,1,4,9,500,West,0
CLM101377,31,18.7,27494.68,3834.36,14,33,Moderate,Health,Theft,1,4,7,1000,East,0
CLM101378,42,0.7,1609.82,3016.59,12,39,Minor,Life,Natural,1,0,13,1000,East,0
CLM101379,32,1.4,82275.65,3998.68,1,68,Minor,Auto,Natural,1,4,12,1500,Central,0
CLM101380,23,4.2,14828.82,7213.47,14,67,Major,Property,Medical,1,3,2,2000,Central,0
CLM101381,73,3.8,58906.99,3384.38,3,21,Moderate,Health,Theft,1,3,13,1500,Central,0
CLM101382,59,4.0,14260.691978912553,3527.66,14,39,Moderate,Property,Accident,1,0,13,1000,South,1
CLM101383,46,13.6,10188.0,5063.02,5,67,Minor,Auto,Theft,1,1,2,1500,North,0
CLM101384,32,9.5,21936.78,6147.5,5,7,Minor,Health,Accident,1,1,15,2000,Central,0
CLM101385,46,19.8,24603.86,6009.66,10,66,Moderate,Auto,Fire,1,4,9,500,South,0
CLM101386,21,4.9,4979.67,648.49,8,45,Total Loss,Auto,Theft,0,4,3,2000,North,0
CLM101387,35,6.6,40846.34,5655.61,11,28,Major,Health,Accident,1,0,19,500,West,0
CLM101388,67,19.7,63610.32364676412,3879.16,5,90,Major,Life,Medical,1,3,17,1000,North,1
CLM101389,74,16.7,1275.6,4430.67,2,11,Moderate,Health,Accident,1,0,3,2500,South,0
CLM101390,66,9.7,3064.26,4712.48,6,78,Major,Property,Fire,1,1,1,1500,South,0
CLM101391,61,11.3,11280.58,5987.9,11,51,Major,Life,Accident,1,3,10,2500,North,0
CLM101392,56,16.9,10269.36,6735.0,14,57,Moderate,Health,Theft,1,4,14,2000,North,0
CLM101393,33,9.9,19485.11,5346.96,6,1,Major,Health,Accident,0,1,10,500,South,0
CLM101394,28,4.5,2409.9,4729.3,8,0,Minor,Health,Theft,0,2,5,2000,South,0
CLM101395,31,16.7,27892.80290541251,3303.27,21,90,Moderate,Health,Fire,0,1,17,2000,West,1
CLM101396,20,11.0,15371.15,1534.09,5,33,Minor,Health,Accident,0,3,17,1000,South,0
CLM101397,68,3.5,4991.15,7689.33,1,63,Moderate,Property,Accident,1,3,0,2000,South,0
CLM101398,67,10.4,12726.2,3963.82,5,67,Minor,Auto,Fire,1,0,12,1500,East,0
CLM101399,59,8.6,4769.43,4746.59,14,81,Major,Property,Accident,1,3,0,1000,East,0
CLM101400,55,17.6,3383.58,6133.05,7,11,Total Loss,Auto,Theft,1,2,12,2500,East,0
CLM101401,62,3.0,13769.31,1013.08,5,49,Minor,Health,Natural,1,2,4,2000,Central,0
CLM101402,59,17.6,57896.46,6912.58,8,20,Minor,Property,Natural,0,3,16,2500,Central,0
CLM101403,35,10.5,5056.15,6477.69,14,9,Total Loss,Auto,Theft,0,4,15,1500,South,0
CLM101404,37,8.4,7585.39,6308.21,3,84,Total Loss,Auto,Accident,1,3,17,1500,East,0
CLM101405,65,3.7,5447.28,664.87,2,88,Minor,Health,Theft,0,4,9,1500,West,0
CLM101406,42,14.2,12982.946803650842,4448.89,14,90,Minor,Health,Fire,1,3,16,2500,West,1
CLM101407,74,18.6,19024.174900428865,907.01,8,90,Minor,Life,Theft,0,1,6,2500,West,1
CLM101408,55,7.8,19152.66,4631.54,2,13,Moderate,Life,Natural,1,3,14,500,South,0
CLM101409,30,5.2,3094.9692327206135,5888.36,13,52,Minor,Auto,Medical,1,1,18,1000,East,1
CLM101410,21,11.3,48241.71,1413.88,11,81,Minor,Life,Fire,1,4,8,2000,South,0
CLM101411,72,16.0,1710.78,5711.62,1,29,Total Loss,Property,Accident,0,3,4,1000,South,0
CLM101412,31,0.6,32961.42,3871.5,1,72,Total Loss,Auto,Theft,0,4,9,1500,West,0
CLM101413,50,12.8,34718.34,6586.65,3,13,Moderate,Property,Fire,1,2,12,2000,East,0
CLM101414,45,12.1,12150.48,4501.92,2,51,Moderate,Life,Natural,1,0,0,500,Central,0
CLM101415,69,6.7,5148.230706854384,3020.91,12,49,Major,Property,Accident,0,4,5,1000,North,1
CLM101416,54,9.3,13491.17,2989.94,13,61,Minor,Auto,Theft,0,1,2,1500,South,0
CLM101417,25,5.3,15858.43,7231.15,6,21,Minor,Property,Theft,0,0,16,2000,East,0
CLM101418,61,15.9,30253.48,3896.54,5,52,Total Loss,Auto,Accident,1,3,11,2000,North,0
CLM101419,51,12.9,37683.87115049347,3543.15,15,52,Major,Life,Medical,1,1,10,1500,North,1
CLM101420,61,10.9,8932.54,799.05,11,75,Minor,Auto,Medical,0,0,7,2500,Central,0
CLM101421,22,8.2,28329.37,3232.43,7,54,Major,Life,Fire,1,0,11,1000,Central,0
CLM101422,71,6.2,60411.74,6872.2,8,79,Moderate,Health,Theft,1,4,10,2000,South,0
CLM101423,22,16.5,16538.92,6207.41,2,21,Minor,Life,Fire,1,3,4,2500,South,0
CLM101424,48,9.3,77344.52399224456,2156.85,17,70,Minor,Auto,Accident,1,3,7,500,East,1
CLM101425,62,10.3,29210.17921775843,3597.92,15,80,Moderate,Auto,Fire,0,3,11,2000,Central,1
CLM101426,26,10.7,18557.49,1974.35,6,65,Minor,Health,Theft,1,4,5,2000,Central,0
CLM101427,59,9.2,37357.47391063387,7656.63,14,57,Moderate,Health,Medical,1,4,8,500,East,1
CLM101428,49,5.5,19300.87,4985.88,0,7,Moderate,Life,Medical,1,3,16,500,Central,0
CLM101429,50,2.8,14248.518310923684,6157.66,12,86,Major,Property,Accident,1,0,1,2000,West,1
CLM101430,20,2.4,13858.35,5853.56,8,39,Total Loss,Property,Natural,0,3,0,1500,North,0
CLM101431,47,15.3,14526.04,7052.67,13,4,Total Loss,Health,Fire,1,4,17,500,West,0
CLM101432,67,4.9,6676.62,7619.96,6,44,Moderate,Life,Accident,1,3,2,2500,North,0
CLM101433,29,1.6,7458.34,743.35,9,45,Major,Health,Medical,1,4,13,500,East,0
CLM101434,46,16.1,22547.83,7814.76,13,35,Moderate,Health,Theft,1,3,12,2000,East,0
CLM101435,20,3.5,14110.11,7029.07,3,16,Major,Auto,Theft,0,0,1,2000,North,0
CLM101436,43,12.7,3423.87,3372.11,12,40,Major,Auto,Natural,0,0,3,1000,North,0
CLM101437,74,7.1,28268.81,6778.02,14,29,Total Loss,Auto,Natural,1,4,14,2500,North,0
CLM101438,47,3.0,33198.38,6024.18,10,51,Total Loss,Health,Medical,0,4,4,1000,North,0
CLM101439,26,8.6,10414.36,6448.36,11,78,Major,Life,Natural,1,1,9,500,South,0
CLM101440,43,0.8,12269.541860875292,2155.18,10,31,Total Loss,Property,Natural,1,2,8,1000,Central,1
CLM101441,19,16.9,45234.59,5364.23,10,35,Major,Property,Theft,0,1,17,2000,Central,0
CLM101442,20,10.5,33090.37,694.44,10,65,Minor,Auto,Fire,1,4,2,1500,East,0
CLM101443,63,3.2,5203.28,6861.72,5,44,Moderate,Life,Theft,0,4,13,500,South,0
CLM101444,21,5.1,4552.1265534638915,7632.82,12,17,Total Loss,Auto,Theft,1,3,9,2000,North,1
CLM101445,42,9.2,9714.79,5465.93,14,49,Moderate,Life,Medical,0,1,16,500,South,0
CLM101446,68,4.2,17923.57,4345.02,1,87,Total Loss,Life,Medical,0,2,14,1000,North,0
CLM101447,30,5.7,10839.876410641842,5942.98,11,76,Moderate,Life,Fire,1,1,17,1000,Central,1
CLM101448,56,10.9,23209.443565215155,2947.71,8,81,Moderate,Health,Accident,1,0,16,500,North,1
CLM101449,61,16.7,9311.62,5197.91,5,41,Total Loss,Life,Natural,0,0,2,500,Central,0
CLM101450,52,8.3,34184.47,5892.3,2,1,Total Loss,Health,Natural,0,1,15,1000,North,0
CLM101451,72,14.5,9420.38,1570.11,10,45,Total Loss,Property,Theft,1,1,18,500,East,0
CLM101452,40,17.6,34931.80721533139,1550.51,14,18,Total Loss,Property,Theft,1,4,12,1000,Central,1
CLM101453,26,4.7,47612.1,5871.04,4,49,Major,Health,Fire,1,3,16,500,East,0
CLM101454,19,16.2,6343.52,3738.37,12,0,Total Loss,Property,Natural,0,0,15,1500,South,0
CLM101455,71,15.3,17393.008859875015,7169.01,14,44,Total Loss,Property,Theft,1,2,8,500,North,1
CLM101456,58,7.5,25111.23,2839.54,10,69,Total Loss,Auto,Theft,0,3,11,500,South,0
CLM101457,61,19.8,5876.38,818.23,4,21,Minor,Health,Medical,0,1,2,2000,North,0
CLM101458,48,5.6,27744.9,5374.07,11,16,Moderate,Health,Accident,1,0,8,1500,Central,0
CLM101459,61,5.5,2506.19,5631.79,9,58,Total Loss,Health,Fire,1,1,15,1000,North,0
CLM101460,64,15.6,2769.28,4651.94,2,85,Total Loss,Auto,Accident,1,0,4,1000,West,0
CLM101461,19,9.0,35738.61,5624.99,8,69,Moderate,Health,Accident,1,2,18,2500,West,0
CLM101462,49,7.0,12674.44,4428.16,10,2,Moderate,Property,Fire,1,3,12,1500,West,0
CLM101463,35,4.0,20031.1,5694.75,2,69,Major,Life,Natural,0,2,1,1500,East,0
CLM101464,30,15.4,12289.741160814372,829.53,4,90,Moderate,Auto,Theft,1,2,18,500,West,1
CLM101465,63,15.8,3727.76,3262.98,5,48,Moderate,Auto,Fire,1,3,17,2000,North,0
CLM101466,22,11.5,79643.98970387483,2081.13,9,66,Minor,Health,Theft,0,3,11,1000,South,1
CLM101467,59,19.2,7662.08,1244.95,5,34,Major,Life,Medical,1,2,17,1000,East,0
CLM101468,61,6.7,26482.87035034981,2255.69,7,61,Minor,Life,Accident,1,1,4,2000,Central,1
CLM101469,27,4.8,1425.56,1934.83,7,71,Moderate,Life,Medical,1,3,19,2000,East,0
CLM101470,73,13.7,8313.49,7798.49,0,6,Total Loss,Property,Accident,1,2,19,1500,South,0
CLM101471,60,15.3,23073.72,2649.09,8,49,Major,Life,Natural,0,2,7,2000,West,0
CLM101472,42,4.9,46059.63408726873,2232.19,9,30,Moderate,Health,Fire,0,2,15,2000,South,1
CLM101473,51,2.0,18997.46,6761.56,5,89,Moderate,Property,Natural,0,1,1,500,East,0
CLM101474,54,16.3,18673.59,3643.37,14,54,Total Loss,Life,Accident,1,4,12,1500,East,0
CLM101475,47,19.5,11585.56,3660.99,1,73,Total Loss,Health,Medical,1,4,0,2500,East,0
CLM101476,24,13.1,36952.62205348121,3826.93,17,38,Total Loss,Property,Accident,1,3,4,2500,South,1
CLM101477,23,5.9,21358.71,3624.01,8,22,Major,Property,Natural,0,4,11,1000,North,0
CLM101478,71,19.9,5261.36,2949.24,7,63,Minor,Life,Natural,1,0,3,2000,North,0
CLM101479,72,17.9,4950.05,2647.55,12,32,Major,Property,Medical,1,3,4,500,West,0
CLM101480,20,10.5,81962.8576562062,7114.7,8,90,Total Loss,Auto,Medical,1,3,10,2000,Central,1
CLM101481,30,16.6,1421.21,1712.81,1,8,Major,Health,Natural,0,2,9,1000,South,0
CLM101482,20,16.4,3253.02,1857.97,12,28,Total Loss,Life,Accident,1,0,7,2000,North,0
CLM101483,43,18.7,13671.15,4787.89,13,78,Minor,Health,Accident,1,4,8,2500,West,0
CLM101484,74,16.9,21081.71,3077.44,14,17,Major,Health,Fire,0,3,6,1500,Central,0
CLM101485,41,13.1,12579.32,3661.47,5,81,Minor,Auto,Natural,1,0,13,2000,West,0
CLM101486,70,12.4,7579.06,6549.1,0,70,Minor,Property,Fire,1,1,10,2500,West,0
CLM101487,23,9.6,58234.42,7277.23,6,77,Total Loss,Auto,Natural,1,1,17,2500,Central,0
CLM101488,60,12.7,19253.47,6429.15,0,28,Major,Auto,Fire,1,2,17,1000,East,0
CLM101489,66,16.0,27702.58,2261.96,14,82,Major,Property,Theft,1,0,7,1500,North,0
CLM101490,59,19.4,1616.19,7849.78,12,60,Minor,Life,Accident,0,3,1,1000,North,0
CLM101491,29,9.6,5036.24,3223.82,5,4,Total Loss,Health,Accident,0,1,6,500,Central,0
CLM101492,66,11.7,8030.17,1768.0,4,68,Minor,Life,Theft,1,1,4,1500,North,0
CLM101493,53,9.2,4024.43,4246.23,11,55,Minor,Life,Medical,1,4,13,500,South,0
CLM101494,19,13.5,2135.4,5939.64,9,51,Minor,Auto,Theft,1,4,13,1500,South,0
CLM101495,28,12.8,4825.16,1124.53,13,14,Minor,Property,Accident,1,0,2,2500,South,0
CLM101496,56,0.8,12441.82,5257.15,2,89,Major,Property,Natural,1,4,5,500,Central,0
CLM101497,51,11.1,18848.35,6935.58,5,87,Moderate,Health,Fire,1,0,16,1500,West,0
CLM101498,43,2.2,23309.69,2463.36,3,82,Major,Property,Accident,0,3,7,1500,West,0
CLM101499,35,1.0,3717.769186403678,5698.42,19,55,Total Loss,Life,Theft,1,3,19,500,East,1
CLM101500,38,15.9,9378.88,3499.31,11,72,Moderate,Property,Natural,0,3,2,1500,East,0
CLM101501,53,5.5,2955.25,3606.01,5,15,Minor,Property,Accident,1,4,14,1000,South,0
CLM101502,57,7.1,9463.41,2606.11,3,74,Major,Life,Theft,0,4,4,1000,South,0
CLM101503,69,1.7,9536.78,5182.95,14,24,Moderate,Health,Accident,1,2,18,500,Central,0
CLM101504,63,4.0,11343.65,3207.49,0,56,Minor,Health,Theft,1,1,1,2500,South,0
